Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0240911354644466,-5.83268353705106E-05,0.0926994713294401,0,0,0,9.62014898919541,0.0575442533822869,3.09831520459753E-06,-0.000101176749175349,0.0789408978568829,-1.92951434916642E-05,0.0830868149708986,0,0,0,0,0,0,package://hak_robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://hak_robot/meshes/base_link.STL,,M-5P_1_1_1-2-1;M-5P_1_1_1-4-1;M-5P_1_1_1-3-1;ICB-M16Y19K1YNA_1_1_1_QUILT_160-1;ICB-M16Y19K1YNA_1_1_1_QUILT_157-1;ICB-M16Y19K1YNA_1_1_1_QUILT_161-1;ICB-M16Y19K1YNA_1_1_1_QUILT_159-1;ICB-M16Y19K1YNA_1_1_1_QUILT_154-1;ICB-M16Y19K1YNA_1_1_1_QUILT_153-1;ICB-M16Y19K1YNA_1_1_1_QUILT_150-1;ICB-M16Y19K1YNA_1_1_1_QUILT_156-1;ICB-M16Y19K1YNA_1_1_1_QUILT_152-1;M-5P_1_1_1-1-1;M-5P_1_1_1-1;ICB-M16Y19K1YNA_1_1_1_QUILT_149-1;ICB-M16Y19K1YNA_1_1_1_QUILT_158-1;ICB-M16Y19K1YNA_1_1_1_QUILT_151-1;ICB-M16Y19K1YNA_1_1_1_QUILT_155-1;ICB-M16Y19K1YNA_1_1_1_QUILT_147-1;ICB-M16Y19K1YNA_1_1_1_QUILT_146-1;ICB-M16Y19K1YNA_1_1_1_QUILT_145-1;ICB-M16Y19K1YNA_1_1_1_QUILT_142-1;ICB-M16Y19K1YNA_1_1_1_QUILT_143-1;ICB-M16Y19K1YNA_1_1_1_QUILT_141-1;ICB-M16Y19K1YNA_1_1_1_QUILT_140-1;ICB-M16Y19K1YNA_1_1_1_QUILT_139-1;ICB-M16Y19K1YNA_1_1_1_QUILT_138-1;ICB-M16Y19K1YNA_1_1_1_QUILT_134-1;ICB-M16Y19K1YNA_1_1_1_QUILT_133-1;ICB-M16Y19K1YNA_1_1_1_QUILT_148-1;ICB-M16Y19K1YNA_1_1_1_QUILT_137-1;ICB-M16Y19K1YNA_1_1_1_QUILT_132-1;ICB-M16Y19K1YNA_1_1_1_QUILT_144-1;ICB-M16Y19K1YNA_1_1_1_QUILT_136-1;ICB-M16Y19K1YNA_1_1_1_QUILT_135-1;ICB-M16Y19K1YNA_1_1_1_QUILT_131-1;ICB-M16Y19K1YNA_1_1_1_QUILT_128-1;ICB-M16Y19K1YNA_1_1_1_QUILT_130-1;ICB-M16Y19K1YNA_1_1_1_QUILT_129-1;ICB-M16Y19K1YNA_1_1_1_QUILT_127-1;ICB-M16Y19K1YNA_1_1_1_QUILT_124-1;ICB-M16Y19K1YNA_1_1_1_QUILT_123-1;ICB-M16Y19K1YNA_1_1_1_QUILT_122-1;ICB-M16Y19K1YNA_1_1_1_QUILT_120-1;ICB-M16Y19K1YNA_1_1_1_QUILT_121-1;ICB-M16Y19K1YNA_1_1_1_QUILT_118-1;ICB-M16Y19K1YNA_1_1_1_QUILT_117-1;ICB-M16Y19K1YNA_1_1_1_QUILT_113-1;ICB-M16Y19K1YNA_1_1_1_QUILT_108-1;ICB-M16Y19K1YNA_1_1_1_QUILT_111-1;ICB-M16Y19K1YNA_1_1_1_QUILT_125-1;ICB-M16Y19K1YNA_1_1_1_QUILT_126-1;ICB-M16Y19K1YNA_1_1_1_QUILT_112-1;ICB-M16Y19K1YNA_1_1_1_QUILT_107-1;ICB-M16Y19K1YNA_1_1_1_QUILT_116-1;ICB-M16Y19K1YNA_1_1_1_QUILT_115-1;ICB-M16Y19K1YNA_1_1_1_QUILT_119-1;ICB-M16Y19K1YNA_1_1_1_QUILT_109-1;ICB-M16Y19K1YNA_1_1_1_QUILT_114-1;ICB-M16Y19K1YNA_1_1_1_QUILT_110-1;ICB-M16Y19K1YNA_1_1_1_QUILT_105-1;ICB-M16Y19K1YNA_1_1_1_QUILT_103-1;ICB-M16Y19K1YNA_1_1_1_QUILT_102-1;ICB-M16Y19K1YNA_1_1_1_QUILT_100-1;ICB-M16Y19K1YNA_1_1_1_QUILT_98-1;ICB-M16Y19K1YNA_1_1_1_QUILT_94-1;ICB-M16Y19K1YNA_1_1_1_QUILT_97-1;ICB-M16Y19K1YNA_1_1_1_QUILT_95-1;ICB-M16Y19K1YNA_1_1_1_QUILT_99-1;ICB-M16Y19K1YNA_1_1_1_QUILT_96-1;ICB-M16Y19K1YNA_1_1_1_QUILT_101-1;ICB-M16Y19K1YNA_1_1_1_QUILT_106-1;ICB-M16Y19K1YNA_1_1_1_QUILT_104-1;ICB-M16Y19K1YNA_1_1_1_QUILT_86-1;ICB-M16Y19K1YNA_1_1_1_QUILT_92-1;ICB-M16Y19K1YNA_1_1_1_QUILT_85-1;ICB-M16Y19K1YNA_1_1_1_QUILT_80-1;ICB-M16Y19K1YNA_1_1_1_QUILT_91-1;ICB-M16Y19K1YNA_1_1_1_QUILT_90-1;ICB-M16Y19K1YNA_1_1_1_QUILT_89-1;ICB-M16Y19K1YNA_1_1_1_QUILT_88-1;ICB-M16Y19K1YNA_1_1_1_QUILT_81-1;ICB-M16Y19K1YNA_1_1_1_QUILT_87-1;ICB-M16Y19K1YNA_1_1_1_QUILT_83-1;ICB-M16Y19K1YNA_1_1_1_QUILT_93-1;ICB-M16Y19K1YNA_1_1_1_QUILT_84-1;ICB-M16Y19K1YNA_1_1_1_QUILT_76-1;ICB-M16Y19K1YNA_1_1_1_QUILT_82-1;ICB-M16Y19K1YNA_1_1_1_QUILT_79-1;ICB-M16Y19K1YNA_1_1_1_QUILT_77-1;ICB-M16Y19K1YNA_1_1_1_QUILT_74-1;ICB-M16Y19K1YNA_1_1_1_QUILT_73-1;ICB-M16Y19K1YNA_1_1_1_QUILT_72-1;ICB-M16Y19K1YNA_1_1_1_QUILT_70-1;ICB-M16Y19K1YNA_1_1_1_QUILT_71-1;ICB-M16Y19K1YNA_1_1_1_QUILT_69-1;ICB-M16Y19K1YNA_1_1_1_QUILT_68-1;ICB-M16Y19K1YNA_1_1_1_QUILT_78-1;ICB-M16Y19K1YNA_1_1_1_QUILT_75-1;ICB-M16Y19K1YNA_1_1_1_QUILT_3-1;SC-M4X10_1_1_1_QUILT_1-3-1;ICB-M16Y19K1YNA_1_1_1_QUILT_2-1;SC-M4X10_1_1_1_SOLID_1-1-1;_32-550001_1_1_1-1;SC-M4X10_1_1_1_SOLID_1-2-1;SC-M4X10_1_1_1_QUILT_1-1;ICB-M16Y19K1YNA_1_1_1_QUILT_1-1;SC-M4X10_1_1_1_SOLID_1-3-1;100094923UGM000_E_7_1_1_1-1;SC-M4X10_1_1_1_QUILT_1-2-1;SC-M4X10_1_1_1_SOLID_1-1;SC-M4X10_1_1_1_QUILT_1-1-1;100094923UGM000_E_5_1_1_1-1;100094923UGM000_E_4_1_1_1-1;100094923UGM000_E_1_1_1_1-1;100094923UGM000_E_3_1_1_1-1;DE-14-041018_3_1_1_QUILT_5-1;DE-14-041018_3_1_1_QUILT_2-1;DE-13-001397_2_1_1_QUILT_33-1;DE-13-001397_2_1_1_QUILT_29-1;100094923UGM000_E_2_1_1_1-1;DE-14-041018_3_1_1_QUILT_1-1;DE-14-041018_3_1_1_QUILT_4-1;100094923UGM000_E_6_1_1_1-1;DE-13-001397_2_1_1_QUILT_32-1;DE-13-001397_2_1_1_QUILT_31-1;DE-14-041018_3_1_1_QUILT_3-1;DE-13-001397_2_1_1_QUILT_30-1;DE-13-001397_2_1_1_QUILT_34-1;DE-14-041018_3_1_1_SOLID_1-1;DE-13-001397_2_1_1_QUILT_28-1;ICB-M16Y19K1YNA_1_1_1_QUILT_64-1;ICB-M16Y19K1YNA_1_1_1_QUILT_67-1;ICB-M16Y19K1YNA_1_1_1_QUILT_66-1;ICB-M16Y19K1YNA_1_1_1_QUILT_65-1;ICB-M16Y19K1YNA_1_1_1_QUILT_62-1;ICB-M16Y19K1YNA_1_1_1_QUILT_61-1;ICB-M16Y19K1YNA_1_1_1_QUILT_60-1;ICB-M16Y19K1YNA_1_1_1_QUILT_54-1;ICB-M16Y19K1YNA_1_1_1_QUILT_58-1;ICB-M16Y19K1YNA_1_1_1_QUILT_52-1;ICB-M16Y19K1YNA_1_1_1_QUILT_56-1;ICB-M16Y19K1YNA_1_1_1_QUILT_53-1;ICB-M16Y19K1YNA_1_1_1_QUILT_50-1;ICB-M16Y19K1YNA_1_1_1_QUILT_49-1;ICB-M16Y19K1YNA_1_1_1_QUILT_59-1;ICB-M16Y19K1YNA_1_1_1_QUILT_63-1;ICB-M16Y19K1YNA_1_1_1_QUILT_48-1;ICB-M16Y19K1YNA_1_1_1_QUILT_55-1;ICB-M16Y19K1YNA_1_1_1_QUILT_57-1;ICB-M16Y19K1YNA_1_1_1_QUILT_51-1;ICB-M16Y19K1YNA_1_1_1_QUILT_46-1;ICB-M16Y19K1YNA_1_1_1_QUILT_44-1;ICB-M16Y19K1YNA_1_1_1_QUILT_38-1;ICB-M16Y19K1YNA_1_1_1_QUILT_34-1;ICB-M16Y19K1YNA_1_1_1_QUILT_39-1;ICB-M16Y19K1YNA_1_1_1_QUILT_35-1;ICB-M16Y19K1YNA_1_1_1_QUILT_30-1;ICB-M16Y19K1YNA_1_1_1_QUILT_37-1;ICB-M16Y19K1YNA_1_1_1_QUILT_45-1;ICB-M16Y19K1YNA_1_1_1_QUILT_43-1;ICB-M16Y19K1YNA_1_1_1_QUILT_42-1;ICB-M16Y19K1YNA_1_1_1_QUILT_47-1;ICB-M16Y19K1YNA_1_1_1_QUILT_41-1;ICB-M16Y19K1YNA_1_1_1_QUILT_40-1;ICB-M16Y19K1YNA_1_1_1_QUILT_36-1;ICB-M16Y19K1YNA_1_1_1_QUILT_31-1;ICB-M16Y19K1YNA_1_1_1_QUILT_33-1;ICB-M16Y19K1YNA_1_1_1_QUILT_32-1;ICB-M16Y19K1YNA_1_1_1_QUILT_28-1;ICB-M16Y19K1YNA_1_1_1_QUILT_29-1;ICB-M16Y19K1YNA_1_1_1_QUILT_26-1;ICB-M16Y19K1YNA_1_1_1_QUILT_23-1;ICB-M16Y19K1YNA_1_1_1_QUILT_22-1;ICB-M16Y19K1YNA_1_1_1_QUILT_25-1;ICB-M16Y19K1YNA_1_1_1_QUILT_24-1;ICB-M16Y19K1YNA_1_1_1_QUILT_19-1;ICB-M16Y19K1YNA_1_1_1_QUILT_17-1;ICB-M16Y19K1YNA_1_1_1_QUILT_12-1;ICB-M16Y19K1YNA_1_1_1_QUILT_20-1;ICB-M16Y19K1YNA_1_1_1_QUILT_16-1;ICB-M16Y19K1YNA_1_1_1_QUILT_14-1;ICB-M16Y19K1YNA_1_1_1_QUILT_27-1;ICB-M16Y19K1YNA_1_1_1_QUILT_13-1;ICB-M16Y19K1YNA_1_1_1_QUILT_15-1;ICB-M16Y19K1YNA_1_1_1_QUILT_10-1;ICB-M16Y19K1YNA_1_1_1_QUILT_21-1;ICB-M16Y19K1YNA_1_1_1_QUILT_18-1;ICB-M16Y19K1YNA_1_1_1_QUILT_6-1;ICB-M16Y19K1YNA_1_1_1_QUILT_11-1;ICB-M16Y19K1YNA_1_1_1_QUILT_7-1;ICB-M16Y19K1YNA_1_1_1_QUILT_9-1;ICB-M16Y19K1YNA_1_1_1_QUILT_5-1;ICB-M16Y19K1YNA_1_1_1_QUILT_4-1;ICB-M16Y19K1YNA_1_1_1_QUILT_8-1;DE-13-001397_2_1_1_QUILT_27-1;DE-13-001397_2_1_1_QUILT_25-1;DE-13-001397_2_1_1_QUILT_26-1;DE-13-001397_2_1_1_QUILT_24-1;DE-13-001397_2_1_1_QUILT_20-1;DE-13-001397_2_1_1_QUILT_23-1;DE-13-001397_2_1_1_QUILT_14-1;DE-13-001397_2_1_1_QUILT_18-1;DE-13-001397_2_1_1_QUILT_19-1;DE-13-001397_2_1_1_QUILT_9-1;DE-13-001397_2_1_1_QUILT_17-1;DE-13-001397_2_1_1_QUILT_15-1;DE-13-001397_2_1_1_QUILT_8-1;DE-13-001397_2_1_1_QUILT_16-1;DE-13-001397_2_1_1_QUILT_22-1;DE-13-001397_2_1_1_QUILT_21-1;DE-13-001397_2_1_1_QUILT_12-1;DE-13-001397_2_1_1_QUILT_11-1;DE-13-001397_2_1_1_QUILT_5-1;DE-13-001397_2_1_1_QUILT_10-1;DE-13-001397_2_1_1_QUILT_13-1;DE-13-001397_2_1_1_QUILT_6-1;DE-13-001397_2_1_1_QUILT_7-1;DE-13-001397_2_1_1_QUILT_3-1;DE-13-001397_2_1_1_QUILT_4-1;DE-13-001397_2_1_1_QUILT_2-1;DE-13-001397_2_1_1_QUILT_1-1;DE-13-001397_2_1_1_SOLID_1-1,bs1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0135514992161213,0.0133449261956699,0.0811768075080785,0,0,0,4.16238993718028,0.0316424140253284,-0.00168560732042343,-0.00404622177824349,0.0324038813905126,-0.00843295927887208,0.0212652144826027,0,0,0,0,0,0,package://hak_robot/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://hak_robot/meshes/link1.STL,,DE-14-041021_1_1_1-1;DE-13-001398_2_1_1_SOLID_1-1;DE-13-001399_2_1_1-1;DE-14-041024_1_1_1-1;DE-14-041023_1_1_1-1,l1,j1,joint1,revolute,0,0,0.184,0,0,0,base_link,0,0,1,100,5.759,-2.697,2.697,,,,,,,,
link2,-0.0196245283863793,0.184886439994691,0.0626469399905923,0,0,0,9.30413334251082,0.176521085367141,0.00305691275553169,-0.000550101621270848,0.0289143399655914,0.0217589239814347,0.178546329293958,0,0,0,0,0,0,package://hak_robot/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://hak_robot/meshes/link2.STL,,DE-13-001400_2_1_1_SOLID_1-1;DE-13-001401_2_1_1-1;DE-14-041025_1_1_1-1;DE-14-041025_1_1_1-1-1,l2,j2,joint2,revolute,0.040001,0.063,0.169,1.5708,0,0,link1,0,0,1,100,4.625,-2.391,1.606,,,,,,,,
link3,0.00945210188615451,0.0100938603855308,0.0614669440841849,0,0,0,2.77288234473681,0.00769276898951054,-0.00124378390113676,0.000140303258501715,0.00915324271004037,9.56389680421576E-05,0.0101512971449236,0,0,0,0,0,0,package://hak_robot/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://hak_robot/meshes/link3.STL,,DE-14-041037_1_1_1-1;DE-13-001402_2_1_1_SOLID_1-1;DE-14-041053_1_1_1-1,l3,j3,joint3,revolute,0,0.44001,0.005,0,0,0,link2,0,0,1,100,6.195,-1.309,3.665,,,,,,,,
link4,-0.000267685369762405,-1.31817184425867E-05,0.149328083580004,0,0,0,2.63078855241547,0.0187988618804413,9.964518494357E-07,8.4029626116062E-06,0.0189997730046198,0.00102096872763372,0.00306981351090355,0,0,0,0,0,0,package://hak_robot/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://hak_robot/meshes/link4.STL,,DE-13-001404_2_1_1-1;DE-14-041006_1_1_1-1;DE-11-059716_1_1_1-1;DE-14-041006_1_1_1-1-1;M-5P_1_1_1_1-1;M-5P_1_1_1_1-1-1;M-5P_1_1_1_1-2-1;M-5P_1_1_1_1-3-1;DE-13-001403_3_1_1-1,l4,j4,joint4,revolute,0.1065,0.032491,0.058,-1.5708,0,-1.5708,link3,0,0,1,100,7.679,-3.491,3.491,,,,,,,,
link5,3.65714911787496E-06,0.00574852068385584,-0.0380752001850429,0,0,0,0.744625128775432,0.00106633972225257,-9.97399009113836E-09,-2.12723117377069E-08,0.000823697573772714,5.79578062976453E-06,0.00100951988524073,0,0,0,0,0,0,package://hak_robot/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://hak_robot/meshes/link5.STL,,DE-14-041009_1_1_1-1;DE-14-040459_2_1_1_SOLID_1-1,l5,j5,joint5,revolute,0,-0.039,0.3225,1.5708,0,0,link4,0,0,1,100,7.854,-2.269,2.269,,,,,,,,
hkrobot,2.59105466068332E-05,0.00016467152162812,0.00809711053411466,0,0,0,0.0250254288937889,6.82453249122362E-06,1.07394209847228E-10,-2.95181073150039E-09,6.93799170565175E-06,-2.10757909903554E-09,1.31737499655798E-05,0,0,0,0,0,0,package://hak_robot/meshes/hkrobot.STL,1,1,1,1,0,0,0,0,0,0,package://hak_robot/meshes/hkrobot.STL,,DE-14-040990_1_1_1-1,l6,j6,j_hkrobot,revolute,0,0.064,-0.039,-1.5708,0,0,link5,0,0,1,100,12.217,-6.28,6.28,,,,,,,,
